fixed acidity,volatile acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,alcohol,quality
7.4,0.24,14,48,198,8.9,6
6.7,0.24,13.1,64,205,9.5,5
7,0.23,13,72,177,9.8,5
8.4,0.27,8.7,39,197,9.6,6
6.7,0.46,2.4,25,98,12.6,7
7.5,0.29,8.95,20,151,9.3,5
9.8,0.42,9.85,5,110,10,5
7.1,0.3,1.5,29,133,12.7,6
7.9,0.19,1.5,17,96,11,6
7.6,0.48,0.8,4,100,11.4,4
6.3,0.22,4.55,31,130,11.5,7
7.5,0.27,17.7,33,173,10.2,5
6.9,0.23,7.5,50,151,11.4,6
7.2,0.32,5.1,19,65,12.6,4
5.9,0.23,12.9,57,170,9.4,5
6,0.67,1.2,9,108,8.7,4
6.4,0.25,5.5,41,176,9.2,6
6.4,0.33,5.5,42,173,9.3,6
7.1,0.34,1.2,61,183,9.2,5
6.8,0.28,22,48,167,8.7,5
6.9,0.27,14,64,227,9.6,6
6.8,0.26,11.9,64,226,9.3,5
6.8,0.29,11.9,66,230,9.3,5
6.7,0.24,9.4,49,166,9.9,6
5.9,0.3,4.2,42,119,11,5
6.8,0.53,3.8,26,109,12.7,8
6.5,0.28,8.5,54,210,8.9,4
6.6,0.28,8.5,55,211,8.9,6
6.8,0.28,22,48,167,8.7,5
6.8,0.28,8,28,123,11.4,6
6.6,0.15,5.1,34,125,9.6,5
6.4,0.29,3.6,75,181,9.1,5
6.4,0.3,3.5,76,180,9.1,6
6.4,0.29,3.6,75,183,9.1,5
6.8,0.26,7.8,54,214,8.9,5
7.1,0.32,13.1,52,204,8.8,5
6.8,0.26,7.8,54,214,8.9,5
6.8,0.27,16.1,55,196,9.3,5
7.1,0.32,13.1,52,204,8.8,5
6.9,0.54,13.2,53,236,9.6,5
6.8,0.26,13.9,39,134,12,6
5.8,0.28,2.3,36,114,10.2,4
6.4,0.21,11.6,45,153,8.8,5
7,0.16,8.3,38,126,9.2,5
10.2,0.44,6.2,20,124,9.9,4
6.8,0.57,2.2,15,77,10.2,5
6.1,0.4,0.9,23,170,9.5,6
5.6,0.245,9.7,12,68,10.5,5
6.8,0.18,1.4,35,111,11.2,7
7,0.16,8.3,38,126,9.2,5
6.7,0.13,5.3,31,122,9.7,6
6.2,0.25,1.4,35,105,11.1,7
5.8,0.26,9.2,55,152,9.4,5
7.5,0.27,7,45,164,11,5
5.8,0.26,9.2,55,152,9.4,5
5.7,0.28,17.5,60,167,9.4,5
7.5,0.23,7,43,161,11,5
7.5,0.27,7,45,164,11,5
7.2,0.685,9.5,33,172,9.1,6
6.2,0.25,1.4,35,105,11.1,7
6.5,0.19,0.8,33,144,9.1,6
6.3,0.495,1.8,31,140,10.4,6
7.1,0.24,17.8,39,145,8.7,5
6.4,0.17,2.4,41,200,9.7,6
7.1,0.25,10.3,66,272,9.1,6
6.4,0.17,2.4,41,200,9.7,6
7.1,0.24,17.8,39,145,8.7,5
6.8,0.64,9.7,26,142,8.9,4
8.3,0.28,7.8,38,194,9.6,6
8.2,0.27,7.8,49,208,9.5,6
7.2,0.23,14.3,55,194,9,6
7.2,0.23,14.3,55,194,9,6
7.2,0.23,14.3,55,194,9,6
7.2,0.23,14.3,55,194,9,6
6.8,0.52,13.2,54,221,9.6,6
7,0.26,1.4,40,120,11.1,7
6.2,0.25,15.55,28,159,9.6,6
7.3,0.32,13.7,49,197,8.7,5
7.7,0.31,7.8,23,90,10.4,5
7.1,0.21,2.4,23,100,11.4,7
6.8,0.24,2.7,64.5,218.5,9.7,6
6.9,0.4,11.2,40,142,8.7,5
6.1,0.18,2,20,249.5,11.3,6
6.8,0.21,2.1,26,139,12.6,7
5.8,0.2,1.4,12,77,10.9,7
5.6,0.19,1.4,12,76,10.9,7
6.1,0.41,10.4,18,119,10,5
5.9,0.21,4.6,40,199,10,4
8.5,0.26,16.2,41,197,9.8,3
6.9,0.4,11.2,40,142,8.7,5
5.8,0.24,3.5,5,109,11.7,3
5.8,0.24,1.5,37,158,9.3,6
6.7,0.26,1.1,45,147,9.6,8
6.3,0.35,5.7,8,97,11,7
6.3,0.35,5.7,8,97,11,7
6.4,0.23,1.8,23,118,11.8,6
5.8,0.36,0.9,3,75,11.4,4
6.9,0.115,5.4,36,108,10.2,6
6.9,0.29,19.45,36,156,8.9,5
6.9,0.28,8.2,15,95,10.2,5
7.2,0.29,13.6,66,231,9.6,6
6.2,0.24,1.2,22,167,10.6,6
6.9,0.29,19.45,36,156,8.9,5
6.9,0.32,8.3,32,180,9.2,6
5.3,0.58,6.9,34,149,9.7,5
5.3,0.585,7.1,34,145,9.7,6
5.4,0.59,7,36,147,9.7,6
6.9,0.32,8.3,32,180,9.2,6
5.2,0.6,7,33,147,9.7,5
5.8,0.25,13.1,44,148,9.3,5
6.6,0.58,5.1,30,123,9,5
7,0.29,10.7,59,234,9.5,5
6.6,0.19,8.9,51,169,9.8,6
6.7,0.2,9.1,50,166,9.8,6
7.7,0.26,1.1,9,60,10.6,5
6.8,0.32,1.2,14,67,10.6,4
7,0.3,4.7,17,105,12.4,7
7,0.24,2.8,22,112,12.6,8
6.1,0.31,5,36,114,12.3,8
6.8,0.44,5.1,46,201,10.5,4
6.7,0.34,15.6,51,196,9.3,5
7.1,0.35,15.4,46,198,8.8,5
7.3,0.32,7.2,47,180,8.8,5
6.5,0.28,15.7,51,190,9.7,6
7.2,0.23,14.2,49,192,9,7
7.2,0.23,14.2,49,192,9,7
7.2,0.23,14.2,49,192,9,7
7.2,0.23,14.2,49,192,9,7
5.9,0.15,5.8,53,155,10.5,6
7.4,0.28,19.8,53,195,9.1,5
6.2,0.28,7.3,26,157,9.8,7
9.1,0.59,1.6,34,182,8.5,3
6.3,0.33,1.2,34,175,9.4,6
8.3,0.39,10.6,33,169,9.4,5
7.2,0.19,3.8,82,187,11.2,7
7.5,0.17,11.3,65,146,10,6
6.7,0.17,2.1,27,122,10.3,6
6.1,0.41,1.6,36,87,10.8,6
8.3,0.2,0.9,12,74,10.5,6
6.1,0.41,1.6,36,87,10.8,6
6,0.29,1.3,42,168,11.1,6
7.3,0.41,6.8,41,163,9.9,6
7.3,0.41,6.8,41,163,9.9,6
7.2,0.43,6.7,40,163,9.9,5
7.3,0.4,6.7,41,166,9.9,6
6.2,0.33,4.9,30,134,10.4,7
6.2,0.31,4.8,36,148,10.4,6
6.1,0.36,2.1,16,100,11.5,7
5,0.55,8.3,35,164,12.5,8
7.8,0.25,3.7,37,149,10,6
5.7,0.36,6.7,51,166,10,6
5.8,0.34,6.6,50,167,10,5
6.8,0.28,1.1,42,127,9.1,6
6.8,0.25,4.7,34,134,10.6,6
6.6,0.24,7.7,36,135,10.5,5
5.9,0.3,7.85,19,133,11.5,7
6.1,0.125,3.3,10,69,10.1,6
6,0.1,1.1,15,65,10.3,7
6.6,0.24,7.7,36,135,10.5,5
6.8,0.25,4.7,34,134,10.6,6
6.8,0.28,9.3,35,137,10.4,6
8.3,0.41,2,11,207,11.4,5
7.5,0.27,5.8,131,313,10.5,5
7.9,0.26,15.15,38,216,10,6
6.4,0.34,6.3,37,143,10,6
6.5,0.28,15.4,55,195,9.6,6
7.2,0.21,1.3,33,85,10.4,5
6.4,0.32,4.8,34,101,12.5,8
6.8,0.24,4.6,37,135,10.6,5
6.3,0.23,1.8,16,91,11.8,6
6.5,0.28,9.9,30,133,9.8,5
5.6,0.26,5.7,12,80,10.8,5
6.3,0.23,1.8,16,91,11.8,6
6.3,0.23,1.5,15,105,11.2,6
5.8,0.27,12.3,55,170,9.3,6
5.9,0.26,1.3,12,139,10.4,5
6.6,0.18,1.5,49,141,10.2,7
7.4,0.2,7.8,27,153,9,7
8,0.24,1.5,17,129,10,6
6.4,0.26,9.7,30,140,9.1,6
5.4,0.31,3,46,144,10,5
5.4,0.29,3,47,145,10,6
7.1,0.145,4.6,33,131,9.6,6
5.6,0.34,1.3,20,68,11.2,7
6.7,0.19,15.6,75,155,8.8,6
7.8,0.18,13.6,38,118,10,6
7.6,0.17,11.2,56,137,10,5
6.3,0.12,2.1,47,146,11.4,7
7.3,0.33,6.85,32,138,11.9,7
5.5,0.335,2.5,27,128,9.6,6
7.3,0.33,6.85,32,138,11.9,7
5.8,0.4,4.4,38.5,245,9.6,6
7.3,0.22,14.3,48,191,9,6
7.3,0.22,14.3,48,191,9,6
6.1,0.36,1.1,24,169,9.5,6
10,0.2,1.4,19,152,10.4,6
6.9,0.24,4.7,43,161,10.6,6
6.4,0.24,14.9,54,162,10.2,6
7.1,0.365,1.2,24,84,8.9,5
6.8,0.15,5.3,40,127,9.7,6
7.3,0.22,14.3,48,191,9,6
6.8,0.16,2.3,18,102,11.4,7
6,0.26,3.5,29,113,12.3,7
6,0.18,1.5,40,143,10.8,6
6.9,0.33,1,39,148,9.4,6
7.7,0.29,2.3,36,178,10.6,6
7.1,0.39,12.5,26,72,11.6,5
6.9,0.33,1,39,148,9.4,6
7.7,0.29,2.3,36,178,10.6,6
6.6,0.905,0.8,17,204,10,5
7.2,0.27,2.4,30,149,9.2,6
5.1,0.33,1.6,18,89,12.5,7
5.1,0.33,1.6,18,89,12.5,7
6.4,0.31,1.5,12,119,10.4,7
7.3,0.2,1.4,21,98,10,7
5.7,0.32,2.6,17,155,10,6
6.4,0.31,1.5,12,119,10.4,7
7.3,0.2,1.4,21,98,10,7
7.2,0.28,12.5,48,179,9,6
7.5,0.35,9.6,26,157,9.2,6
7.2,0.27,2.4,30,149,9.2,6
6,0.36,3.2,20,125,11.3,7
5.1,0.33,1.6,18,89,12.5,7
5,0.17,1.5,24,115,10.8,7
6.3,0.39,5.9,82.5,260,10.1,5
6.7,0.21,5.4,29,140,9.7,6
7,0.3,14.9,60,181,9.3,7
7,0.3,14.9,60,181,9.3,7
6.5,0.36,1.1,13,66,10.6,5
6.1,0.55,9.8,19,125,10.2,6
7.3,0.24,2,20,69,12.2,6
6.8,0.37,11.8,62,163,8.8,5
6.8,0.27,1.3,87,168,10,5
8.2,0.28,1.8,30,93,11.4,5
6.3,0.2,1.5,35,107,11.4,6
5.9,0.26,18.2,52,168,9.4,5
6.4,0.19,2.9,32,83,11.7,6
6.3,0.2,1.5,35,107,11.4,6
6.8,0.37,11.8,62,163,8.8,5
6.1,0.35,1.4,22,108,9.2,5
7.1,0.27,18.2,55,252,8.7,5
6.8,0.22,6.3,33,170,12.6,6
6.8,0.27,1.3,87,168,10,5
5.8,0.28,4,40,99,12.8,7
6.9,0.49,1.2,13,125,9.4,5
6.3,0.14,1.2,26,116,10.3,6
8.2,0.28,1.8,30,93,11.4,5
7.2,0.25,18.95,42,155,9,6
7.3,0.28,12.7,38,140,9.6,6
7.2,0.19,1.2,32,85,10.5,5
7.2,0.19,1.2,32,85,10.5,5
7.2,0.25,18.95,42,155,9,6
7.3,0.28,12.7,38,140,9.6,6
7.4,0.21,1.2,27,99,9.8,6
6.8,0.26,7.7,57,210,9,5
7.4,0.21,1.2,27,99,9.8,6
7.4,0.31,1.6,33,137,10.5,6
7,0.22,2.7,41,136,12.7,7
7,0.21,8.7,37,222,10.4,6
7,0.21,8.6,37,221,10.4,6
7,0.21,8.6,37,221,10.4,6
6.9,0.23,8.3,47,162,10.5,7
7,0.21,8.7,37,222,10.4,6
7,0.21,8.6,37,221,10.4,6
6.8,0.29,13.3,48,194,9.4,5
7.8,0.21,1.2,20,89,9.1,5
7.1,0.31,13.6,54,197,9.3,5
6.8,0.29,13.3,48,194,9.4,5
6.4,0.34,1.1,19,84,9.8,5
7.4,0.155,2.3,73.5,214,9.9,7
7.2,0.55,1.5,16,151,9.2,4
7,0.23,7.1,31,104,12.1,8
6.9,0.2,6.2,24,97,12.2,7
6.1,0.28,2.5,23,218.5,9.8,5
6.6,0.16,1.4,49,186,12.4,8
7.4,0.155,2.3,73.5,214,9.9,7
6.2,0.35,1.2,23,108,9.2,5
6.7,0.22,1.6,24,102,11.6,7
6.1,0.38,6.6,25,137,10.4,6
6,0.25,2.2,54,126,12.9,8
6.6,0.52,12.2,54,245,9.3,6
6.9,0.24,20.8,40,139,11,6
7.1,0.32,11,16,66,11.5,3
5.8,0.28,2.6,30,156,12.4,5
6.5,0.41,14,24,113,9.8,6
6.5,0.41,14,24,113,9.8,6
6.4,0.28,1.6,34,127,10.5,7
7.2,0.6,9.9,21,174,9.1,5
6.1,0.2,1.2,34,128,10.1,5
5.9,0.46,2.7,27,160,10.6,7
6,0.27,1.6,32,113,10.5,7
6.4,0.28,1.6,34,127,10.5,7
6.4,0.41,14,24,113,9.8,6
6.3,0.23,1.5,11,82,12.9,7
7.1,0.21,8.6,26,111,9.5,5
6,0.37,1,31,218.5,9.8,6
6.1,0.43,9.1,83,249,8.5,5
7.1,0.21,8.6,26,111,9.5,5
7,0.25,15.2,40,171,9.3,5
5.9,0.25,12.4,50,162,9.5,5
6.8,0.32,2.2,15,68,9.4,6
7.2,0.39,11,66,178,8.7,5
6.3,0.21,10,34,126,8.9,5
7,0.14,9,54,141,9.4,6
6.8,0.32,2.2,15,68,9.4,6
7.2,0.39,11,66,178,8.7,5
7.2,0.29,18.15,59,182,9.6,5
8.6,0.37,12.15,21,158,9.3,6
6.5,0.38,3.4,34,200,10,5
6.6,0.24,2,19,86,12.5,6
7,0.17,4.8,34,132,9.6,7
5.5,0.16,4.5,30,102,9.4,6
7,0.24,11,55,227,9.5,5
7.4,0.28,1.1,42,105,12.4,7
7,0.22,1.5,29,115,10.5,6
7.1,0.55,1.7,21,165,9.2,6
6.3,0.22,1.7,67,164,10.4,6
6.7,0.47,8.9,31,172,9.2,5
5.9,0.36,1.3,45,104,10.6,6
5.8,0.25,13.3,41,137,9.5,5
6.7,0.47,8.9,31,172,9.2,5
6.2,0.37,6.6,79,200,9.6,5
6.2,0.18,1.5,36,117,9.7,6
6,0.16,1.5,43,117,9.7,6
6.6,0.34,1.3,32,90,10.7,6
7.4,0.29,1.6,53,180,10.5,6
7.4,0.26,7.6,52,177,8.9,6
7,0.28,1,8,70,12.1,6
7.1,0.23,1.6,12,65,12.7,7
7.8,0.19,8.9,42,182,9.9,6
6.3,0.19,1.8,28,158,11.4,6
6.8,0.2,4.7,27,103,10.7,6
5.7,0.44,7,28,173,12.5,6
7.2,0.4,10.8,70,189,8.6,4
6.8,0.23,1.6,43,147,12.5,6
5.7,0.335,1,13,174,10,5
7.2,0.4,10.8,70,189,8.6,4
7.2,0.28,16.7,54,200,9.5,6
6.8,0.19,14.2,51,164,9.6,6
6.4,0.3,2.25,8,210,9.9,6
6.5,0.3,2.25,8,210,9.9,5
7.8,0.18,12.2,46,140,8.9,6
7.8,0.18,12.2,46,140,8.9,6
7.3,0.51,3.3,7,135,8.8,5
6,0.24,1.9,40,170,10,7
5.9,0.62,3.5,55,152,12,6
6,0.24,1.9,40,170,10,7
6.7,0.27,1.3,62,138,10,6
7.8,0.34,1.8,8,167,12.1,6
7.3,0.26,5.2,31,141,11,6
7.4,0.36,1.4,27,55,11.2,6
7.8,0.28,9,34,115,10.3,7
6.1,0.31,2.2,28,167,10.4,6
6.8,0.18,1.6,47,154,9.1,5
7.4,0.15,1.7,49,154,10.4,6
5.9,0.13,1.9,20,78,10.8,6
7.2,0.34,12.6,7,41,11.7,5
7.9,0.19,2.1,8,143,9.8,5
7.9,0.19,2.1,8,143,9.8,5
6.9,0.25,1.3,22,101,11.4,6
5.8,0.36,1.7,22,96,11.2,6
5.6,0.35,1,6,72,11.4,5
5.9,0.32,3.3,24,140,9.2,6
7.2,0.31,5,3,29,12.5,4
6.1,0.28,1.8,32,116,12.6,6
5.2,0.36,1.6,24,104,12.2,6
5.6,0.19,4.5,19,112,11.2,6
6.4,0.1,4.9,31,103,9.7,6
6.4,0.18,4,64,150,9.3,5
7.4,0.25,13.2,53,178,9,6
7.4,0.25,13.2,53,178,9,6
7.4,0.25,13.2,53,178,9,6
7.9,0.345,15.3,54,171,9.1,5
7.9,0.345,15.3,54,171,9.1,5
7.4,0.25,13.2,53,178,9,6
6.1,0.24,1.5,22,61,10.4,5
6.8,0.25,4.55,41,211,9.5,6
6.7,0.31,9.9,10,175,11.4,4
7.2,0.46,10.4,76,192,8.7,5
5.5,0.35,1.1,14,167,9.9,6
6.7,0.24,8.7,29,148,9.9,6
6.8,0.28,13.9,49,162,9,6
6.4,0.16,1.4,41,149,10,6
6.3,0.26,7.2,38,172,9.7,6
7.7,0.22,1.9,10,87,11.8,6
6.5,0.18,1.7,30,127,10.2,7
7.2,0.46,10.4,76,192,8.7,5
7,0.3,13.6,40,168,9.6,7
9.2,0.25,1.2,31,93,11.3,7
7.8,0.28,1.6,32,118,12.1,7
7,0.3,13.6,40,168,9.6,7
7.8,0.28,1.6,32,118,12.1,7
9.2,0.25,1.2,31,93,11.3,7
8.4,0.35,12.2,22,160,9.4,5
6.1,0.41,1.6,16,137,10.4,6
5.9,0.21,12.1,53,165,9.5,5
7.2,0.34,4.2,51,144,12.3,6
6.7,0.21,9.1,31,150,9.9,7
5.9,0.37,1.6,39,128,10.1,5
7.7,0.34,8.8,39,184,9.2,6
7.4,0.3,1.4,16,135,10.4,7
6.8,0.51,4.2,38,165,9.1,5
7.8,0.22,10.3,28,99,10,6
7.2,0.35,12.4,6,37,11.5,6
6,0.26,2.2,59,153,9.8,5
6.1,0.26,2.2,61,154,9.8,6
6.5,0.28,5.2,44,179,9.4,6
7.4,0.41,10.8,77,194,8.7,5
6.5,0.28,2.7,26,107,11.6,7
6.7,0.34,16.3,44,181,8.8,5
7.2,0.2,2.7,49,151,12.7,7
7.4,0.2,1.9,39,138,11.7,7
8.2,0.22,1.8,47,185,10.2,6
8.2,0.23,1.8,47,187,10.2,6
7.1,0.22,2.8,48,153,12.7,7
6.5,0.28,2.7,26,107,11.6,7
6,0.38,6,42,134,12.3,7
7.4,0.41,10.8,77,194,8.7,5
5.7,0.18,4.2,25,111,9.4,5
7.3,0.3,6.4,44,168,10.1,6
7.4,0.24,10.7,26,81,9.7,6
6.6,0.25,1.6,32,134,10.1,7
7.4,0.24,10.7,26,81,9.7,6
7.4,0.26,7.9,38,157,8.9,6
6.1,0.32,1.7,37,136,10.8,7
6.9,0.28,2.1,42,121,10.8,7
7,0.23,5.8,25,136,9.5,6
7.1,0.31,14.5,6,148,9.1,5
7.3,0.2,1.2,48,119,10.9,6
6.9,0.41,10.1,28,152,9.4,5
6.4,0.45,1.1,10,131,10.8,5
6.4,0.475,1,9,131,10.8,5
6.3,0.27,0.9,7,140,10.5,7
6.9,0.41,10.1,28,152,9.4,5
7,0.29,4.9,26,127,10.8,6
5.9,0.27,11.4,31,115,10.5,8
6.9,0.19,1.4,14,55,11.5,7
6.7,0.3,1.4,36,160,9.4,6
7.2,0.24,1.4,31,106,10.8,6
6.4,0.45,1.1,10,131,10.8,5
6.4,0.475,1,9,131,10.8,5
6.3,0.26,1.5,34,134,9.8,6
6.3,0.26,1.5,34,134,9.8,6
7.3,0.25,7.5,38,158,9.6,5
7.3,0.25,7.5,38,158,9.6,5
6.1,0.28,17.75,48,161,9.5,5
7.4,0.37,5.7,12,94,10.7,6
6.5,0.36,3.2,29,119,12.4,8
7.4,0.24,4.3,9,95,11.1,6
7.5,0.23,11,37,133,8.8,5
7.5,0.21,10.9,38,133,8.7,5
7.5,0.21,10.9,38,133,8.7,5
7.5,0.23,11,37,133,8.8,5
7.8,0.32,2.4,18,101,11.7,7
7.8,0.26,1.9,52,195,10.9,6
7.7,0.24,1.8,52,190,10.8,6
7.4,0.19,1.4,33,135,9.6,6
6.5,0.46,16.8,59,222,9,5
6.5,0.26,8.9,50,171,9,5
5.3,0.32,6.6,22,141,10.4,6
7.2,0.24,1.1,3,64,11.4,5
6,0.36,1.4,27,128,9.3,5
6.2,0.24,13.3,49,130,11,8
7.6,0.56,10.4,22,177,9.1,4
7,0.32,6.2,31,228,9.4,6
7,0.32,6.2,31,228,9.4,6
5.8,0.31,1.2,23,99,10.5,6
7,0.23,18.05,35,144,8.8,5
7,0.23,18.05,35,144,8.8,5
6.9,0.24,4.8,16,131,10.7,6
6,0.29,12.6,45,187,9.5,5
6.1,0.17,4.5,46,150,10.9,6
5.9,0.14,4.5,34,140,10.8,6
6.2,0.17,4.7,39,133,10.8,7
7.4,0.28,11.9,25,148,9.2,5
5.6,0.35,5,48,198,10.3,5
5.8,0.335,5.8,49,197,10.3,5
5.6,0.235,1.2,33,127,11,7
6.1,0.28,12.9,34,189,9,4
6.3,0.21,13.9,68,179,10.4,6
6.4,0.24,11.5,34,163,9.5,5
6.4,0.24,11.4,32,166,9.5,5
6.3,0.26,7.8,44,166,9,5
6.5,0.33,1.1,7,151,9.5,4
7.4,0.105,12.2,57,146,9,6
6,0.32,5.9,34,190,10,5
7.1,0.26,14.4,35,189,9.1,7
